R0,probability
0.8,0.996
0.9,0.981
1.0,0.949
1.1,0.905
1.2000000000000002,0.84
1.3,0.775
1.4000000000000001,0.696
1.5,0.646
1.6,0.63
1.7000000000000002,0.57
1.8,0.541
1.9000000000000001,0.514
2.0,0.494
2.1,0.452
2.2,0.419
2.3,0.37
2.4000000000000004,0.363
2.5,0.378
2.6,0.334
2.7,0.337
2.8,0.323
2.9000000000000004,0.313
3.0,0.285
3.1000000000000005,0.306
3.2,0.273
3.3,0.262
3.4000000000000004,0.258
3.5,0.259
3.6000000000000005,0.268
3.7,0.254
3.8,0.226
3.9000000000000004,0.211
